st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,sin_ra,sin_dec,disp
17.104999542236328,-55.58000183105469,2458663.25,13.54990005493164,1.7949999570846558,1180.0,6.246329784393311,31.66519927978516,660.0,9.7298002243042,222.5290069580078,6209.0,4.090000152587891,1.6299999952316284,-0.941106379032135,-0.682945191860199,F
-0.7099999785423279,-14.515999794006348,2458327.0,3.3728768825531006,2.6342599391937256,17163.603515625,14.20180320739746,615.1658935546875,1270.1875,12.18929958343506,448.6369934082031,6050.0,4.450610160827637,1.0199999809265137,-0.4584271907806396,-0.5112888813018799,C
12.538000106811523,-27.18000030517578,2460144.25,8.349980354309082,1.8359999656677248,16680.0,11.142399787902832,19.934799194335938,588.0,10.142900466918944,58.26089859008789,4236.0,4.519999980926514,0.7400000095367432,-0.9594321250915528,-0.6618044972419739,C
12.538000106811523,-27.18000030517578,2460127.0,4.06864070892334,1.837372899055481,2650.094970703125,3.754833221435547,84.1087646484375,772.3782958984375,10.142900466918944,58.26089859008789,4236.0,4.519999980926514,0.7419210076332092,-0.9594321250915528,-0.6618044972419739,C
21.767000198364254,15.979999542236328,2460333.5,18.69220924377441,7.764999866485596,11126.0,18.14579963684082,282.17498779296875,1141.0,9.036089897155762,170.73199462890625,6277.0,4.090000152587891,1.649999976158142,-0.9395674467086792,0.5967540144920349,F
16.882999420166016,5.076000213623047,2460659.0,8.027732849121094,4.283999919891357,5705.0,9.068829536437988,248.61900329589844,1106.0,9.028550148010254,114.0479965209961,5962.7001953125,4.380000114440918,1.149999976158142,-0.2316862791776657,0.9963891506195068,C
0.9369999766349792,-10.17099952697754,2459612.5,12.518728256225586,5.380000114440918,2320.0,5.58857011795044,626.3619995117188,1393.0,8.936100006103516,84.53620147705078,5729.0,4.46999979019165,0.9800000190734864,-0.2110671550035476,0.9052373766899108,C
0.9369999766349792,-10.17099952697754,2460366.0,6.258606433868408,3.200999975204468,813.0,2.515929937362671,232.3919982910156,1087.0,8.936100006103516,84.53620147705078,5729.0,4.46999979019165,0.9800000190734864,-0.2110671550035476,0.9052373766899108,C
0.9369999766349792,-10.17099952697754,2458697.75,18.79554748535156,4.342557430267334,470.6731872558594,2.159766912460327,48.47707748413086,672.9826049804688,8.936100006103516,84.53620147705078,5729.0,4.46999979019165,0.9777269959449768,-0.2110671550035476,0.9052373766899108,C
63.13399887084961,53.43299865722656,2458327.5,3.288789749145508,3.4367716312408447,7005.724609375,10.513587951660156,759.3373413085938,1338.8392333984375,10.610300064086914,216.5260009765625,5800.0,4.2800397872924805,1.2417500019073486,0.8939564824104309,-0.934990406036377,C
